No,Temperature,Pressure,accelX,accelY,accelZ,magX,magY,magZ,gyroX,gyroY,gyroZ,gps_latitude,gps_longtitude,gps_time,highte,accel
116,26.799,101184.0,0.06,-0.061,-1.37,-50.0,-55.0,-10.0,-3.906,1.831,1.281,0.0,0.0,0,12.225269893781984,0.9421105000000001
117,26.799,101184.0,0.036,0.043,-1.185,-50.0,-55.0,-10.0,-2.014,-4.394,-0.061,0.0,0.0,0,12.225269893781984,0.703685
118,26.799,101185.0,-0.175,-0.041,-0.976,-50.0,-55.0,-10.0,-2.136,-7.69,0.366,0.0,0.0,0,12.138494473228928,0.49244099999999996
119,26.799,101186.0,-0.205,-0.058,-0.936,-50.0,-55.0,-10.0,-2.197,-4.333,0.0,0.0,0.0,0,12.051720073398508,0.46074250000000005
120,26.799,101181.0,-0.061,-0.042,-1.025,-50.0,-55.0,-10.0,-3.112,-2.197,0.0,0.0,0.0,0,12.485602279981899,0.5280549999999999
121,26.799,101181.0,-0.029,-0.02,-1.049,-50.0,-55.0,-10.0,-2.929,-4.089,0.061,0.0,0.0,0,12.485602279981899,0.550821
122,26.799,101179.0,-0.014,-0.01,-1.056,-50.0,-55.0,-10.0,-3.417,-3.906,0.183,0.0,0.0,0,12.659162308104058,0.5577160000000001
123,26.799,101181.0,-0.005,-0.001,-0.971,-50.0,-55.0,-10.0,-4.577,-0.671,0.244,0.0,0.0,0,12.485602279981899,0.47143349999999995
124,26.799,101181.0,-0.033,-0.018,-1.019,-50.0,-55.0,-10.0,-4.699,-0.366,0.305,0.0,0.0,0,12.485602279981899,0.519887
125,26.799,101182.0,-0.012,-0.021,-0.985,-50.0,-55.0,-10.0,-4.882,-0.488,0.549,0.0,0.0,0,12.398823797137977,0.485405
126,26.799,101186.0,-0.011,-0.009,-0.996,-50.0,-55.0,-10.0,-4.577,-0.854,0.427,0.0,0.0,0,12.051720073398508,0.496109
127,26.799,101184.0,-0.006,-0.012,-1.0,-50.0,-55.0,-10.0,-4.333,-1.098,0.122,0.0,0.0,0,12.225269893781984,0.50009
128,26.799,101186.0,-0.007,-0.012,-1.001,-50.0,-55.0,-10.0,-4.516,-1.22,0.122,0.0,0.0,0,12.051720073398508,0.5010969999999999
129,26.799,101188.0,-0.007,-0.01,-0.997,-50.0,-55.0,-10.0,-4.272,-1.22,0.305,0.0,0.0,0,11.878174335803108,0.497079
130,26.799,101185.0,-0.004,-0.012,-0.992,-50.0,-55.0,-10.0,-4.272,-1.098,0.305,0.0,0.0,0,12.138494473228928,0.492112
131,26.799,101181.0,-0.008,-0.008,-1.0,-50.0,-55.0,-10.0,-4.577,-0.915,0.122,0.0,0.0,0,12.485602279981899,0.500064
132,26.799,101184.0,-0.007,-0.01,-0.991,-50.0,-55.0,-10.0,-4.577,-0.793,0.427,0.0,0.0,0,12.225269893781984,0.49111499999999997
133,26.799,101191.0,-0.006,-0.011,-1.0,-50.0,-55.0,-10.0,-4.516,-0.976,0.183,0.0,0.0,0,11.61786338424573,0.5000785
134,26.799,101184.0,-0.005,-0.009,-0.99,-50.0,-55.0,-10.0,-4.211,-1.159,0.061,0.0,0.0,0,12.225269893781984,0.490103
135,26.799,101181.0,-0.005,-0.009,-0.994,-50.0,-55.0,-10.0,-4.638,-1.037,0.0,0.0,0.0,0,12.485602279981899,0.49407100000000004
136,26.799,101183.0,-0.007,-0.011,-0.991,-50.0,-55.0,-10.0,-4.577,-0.793,0.183,0.0,0.0,0,12.31204633507817,0.4911255
137,26.799,101186.0,-0.01,-0.009,-0.998,-50.0,-55.0,-10.0,-4.455,-0.976,0.366,0.0,0.0,0,12.051720073398508,0.4980925
138,26.799,101189.0,-0.005,-0.009,-0.992,-50.0,-55.0,-10.0,-4.455,-0.976,0.549,0.0,0.0,0,11.791402997986898,0.492085
139,26.799,101194.0,0.0,-0.012,-0.993,-50.0,-55.0,-10.0,-4.76,-1.037,0.366,0.0,0.0,0,11.357561617962494,0.4930965
140,26.799,101194.0,-0.004,-0.01,-0.995,-50.0,-55.0,-10.0,-4.882,-0.976,0.305,0.0,0.0,0,11.357561617962494,0.4950705
141,26.799,101181.0,-0.006,-0.013,-0.989,-50.0,-55.0,-10.0,-4.699,-0.976,0.366,0.0,0.0,0,12.485602279981899,0.489163
142,26.799,101182.0,-0.006,-0.013,-0.991,-50.0,-55.0,-10.0,-4.577,-0.671,0.244,0.0,0.0,0,12.398823797137977,0.491143
143,26.799,101195.0,-0.003,-0.007,-0.992,-50.0,-55.0,-10.0,-4.455,-0.915,0.488,0.0,0.0,0,11.270796403611149,0.49206099999999997
144,26.799,101185.0,-0.006,-0.013,-0.99,-50.0,-55.0,-10.0,-4.455,-1.037,0.183,0.0,0.0,0,12.138494473228928,0.4901525
145,26.799,101184.0,-0.005,-0.01,-0.991,-50.0,-55.0,-10.0,-4.577,-0.854,0.427,0.0,0.0,0,12.225269893781984,0.491103
146,26.799,101180.0,-0.003,-0.012,-0.999,-50.0,-55.0,-10.0,-4.638,-1.037,0.427,0.0,0.0,0,12.572381783630428,0.499077
147,26.799,101191.0,-0.006,-0.008,-0.992,-50.0,-55.0,-10.0,-4.577,-0.976,0.122,0.0,0.0,0,11.61786338424573,0.49208199999999996
148,26.799,101195.0,-0.004,-0.009,-0.993,-50.0,-55.0,-10.0,-4.333,-0.854,0.0,0.0,0.0,0,11.270796403611149,0.493073
149,26.799,101188.0,-0.005,-0.011,-0.987,-50.0,-55.0,-10.0,-4.089,-1.159,0.305,0.0,0.0,0,11.878174335803108,0.48715749999999997
150,26.799,101184.0,-0.006,-0.01,-0.991,-50.0,-55.0,-10.0,-4.394,-0.793,0.305,0.0,0.0,0,12.225269893781984,0.4911085
151,26.799,101183.0,-0.006,-0.006,-0.994,-50.0,-55.0,-10.0,-4.333,-0.854,0.488,0.0,0.0,0,12.31204633507817,0.494054
